0,Date,Price,Open,High,Low,Volume,Chg%
829,"Nov 11, 2007",713.65,656.28,725.13,644.39,81.08M,5.39%
830,"Nov 04, 2007",677.18,671.96,694.42,652.07,61.71M,0.78%
831,"Oct 28, 2007",671.96,684.76,706.91,638.20,92.43M,0.56%
832,"Oct 21, 2007",668.24,594.37,672.08,587.38,90.28M,9.27%
833,"Oct 14, 2007",611.53,640.21,740.23,557.47,129.55M,-3.76%
834,"Oct 07, 2007",635.41,620.37,674.78,544.27,111.95M,2.94%
835,"Sep 30, 2007",617.27,572.08,622.85,553.50,75.55M,8.46%
836,"Sep 23, 2007",569.12,569.60,600.80,560.93,73.85M,0.77%
837,"Sep 16, 2007",564.76,502.73,569.35,499.24,52.02M,12.08%
838,"Sep 09, 2007",503.91,484.16,512.86,481.44,43.08M,3.66%
839,"Sep 02, 2007",486.12,485.62,493.82,475.80,39.94M,0.10%
840,"Aug 26, 2007",485.62,450.23,487.88,443.79,63.74M,10.39%
841,"Aug 19, 2007",439.92,445.77,456.92,424.80,61.61M,1.34%
842,"Aug 12, 2007",434.11,451.22,455.68,416.85,50.71M,-3.10%
843,"Aug 05, 2007",448.02,441.56,473.64,433.74,62.97M,0.44%
844,"Jul 29, 2007",446.06,466.82,470.99,443.60,58.96M,-3.55%
845,"Jul 22, 2007",462.49,465.59,482.55,459.40,69.76M,-1.30%
